ID,LID,Width,Color,type,LinkID
282,282,0.15,W,0,6218
283,283,0.15,W,0,6265
284,284,0.15,W,0,6313
285,285,0.15,W,0,6361
286,286,0.15,W,0,9136
287,287,0.15,W,0,9183
288,288,0.15,W,0,9231
289,289,0.15,W,0,9279
290,290,0.15,Y,0,9136
291,291,0.15,Y,0,9183
292,292,0.15,Y,0,9231
293,293,0.15,Y,0,9279
294,294,0.15,Y,0,19646
295,295,0.15,Y,0,19598
296,296,0.15,Y,0,19550
297,297,0.15,Y,0,19502
298,298,0.15,W,0,19646
299,299,0.15,W,0,22516
300,300,0.15,W,0,22468
301,301,0.15,W,0,22421
302,302,0.15,W,0,25482
303,303,0.15,W,0,25434
304,304,0.15,W,0,25386
305,305,0.15,W,0,25339
306,306,0.15,W,0,15526
307,307,0.15,W,0,15478
308,308,0.15,W,0,15431
309,309,0.15,W,0,15383
310,310,0.15,W,0,16031
311,311,0.15,W,0,15983
312,312,0.15,W,0,15936
313,313,0.15,W,0,15888
314,314,0.15,W,0,16031
315,315,0.15,W,0,15983
316,316,0.15,W,0,15936
317,317,0.15,W,0,15888
318,318,0.15,W,0,13142
319,319,0.15,W,0,13201
320,320,0.15,W,0,13259
321,321,0.15,W,0,13318
322,322,0.15,W,0,13847
323,323,0.15,W,0,13906
324,324,0.15,W,0,13964
325,325,0.15,W,0,14022
326,326,0.15,W,0,13847
327,327,0.15,W,0,13906
328,328,0.15,W,0,13964
329,329,0.15,W,0,14022
330,330,0.15,W,0,6414
331,331,0.15,W,0,6473
332,332,0.15,W,0,6531
333,333,0.15,W,0,6589
334,334,0.15,W,0,9332
335,335,0.15,W,0,9390
336,336,0.15,W,0,9449
337,337,0.15,W,0,9507
338,338,0.15,Y,0,9332
339,339,0.15,Y,0,9390
340,340,0.15,Y,0,9449
341,341,0.15,Y,0,9507
342,342,0.15,Y,0,19449
343,343,0.15,Y,0,19391
344,344,0.15,Y,0,19333
345,345,0.15,Y,0,19274
346,346,0.15,W,0,22368
347,347,0.15,W,0,22309
348,348,0.15,W,0,22251
349,349,0.15,W,0,19274
350,350,0.15,W,0,25286
351,351,0.15,W,0,25227
352,352,0.15,W,0,25169
353,353,0.15,W,0,22192
354,354,0.15,W,0,15330
355,355,0.15,W,0,15272
356,356,0.15,W,0,15213
357,357,0.15,W,0,25110
358,358,0.15,W,0,15835
359,359,0.15,W,0,15776
360,360,0.15,W,0,15718
361,361,0.15,W,0,15155
362,362,0.15,W,0,15835
363,363,0.15,W,0,15776
364,364,0.15,W,0,15718
365,365,0.15,W,0,15660
366,366,0.15,W,0,13366
367,367,0.15,W,0,13406
368,368,0.15,W,0,14073
369,369,0.15,W,0,14112
370,370,0.15,W,0,14092
371,371,0.15,W,0,14392
372,372,0.15,W,0,14431
373,373,0.15,W,0,6638
374,374,0.15,W,0,6677
375,375,0.15,W,0,9556
376,376,0.15,W,0,9595
377,377,0.15,Y,0,9556
